Unnamed: 0,Gaia_ID,Ascension,Declination,Distance_50,Distance_16,Distance_84,Binary,Name,Unnamed: 9,"""Common"" Name",Unnamed: 11,Unnamed: 12,New_Distance
83,6.31E+18,226.9479458,-16.4651251,0.00741,0.0074,0.00743,n,,24.1566,2MASS 1507-1627,907.7917832,15.12986305,0.007394611
5,2.55E+18,12.0991071,5.2755394,0.00744,0.00743,0.00744,n,,24.2544,HD 4628,48.3964284,0.80660714,0.007437134
4,4.68E+18,6.482505,-77.2527955,0.00748,0.00746,0.00749,n,,24.3848,Beta Hydri,25.93002,0.432167,0.007471312
104,2.26E+18,274.7432565,66.1906167,0.00764,0.00754,0.00764,n,,24.9064,GJ 4053,1098.973026,18.3162171,0.007666385
91,1.36E+18,257.3834721,43.6801058,0.0076,0.00757,0.00762,n,BINARY!,24.776,GJ 3991 Binary Star System,1029.533888,17.15889814,0.007637563
133,6.60E+18,344.1019414,-31.566269,0.0076,0.0076,0.0076,n,,24.776,Alpha Piscis Austrini,1376.407766,22.94012943,0.0076
109,4.29E+18,282.0747587,7.6903239,0.00762,0.00761,0.00762,n,,24.8412,G 141-36,1128.299035,18.80498391,0.007617829
13,9.63E+16,25.6225857,20.2655192,0.00764,0.00763,0.00765,n,,24.9064,107 Piscium,102.4903428,1.70817238,0.007645972
73,3.74E+18,202.5042016,10.3723896,0.00763,0.00763,0.00763,n,,24.8738,Gliese 514,810.0168064,13.50028011,0.00763

