,Gaia_ID,Ascension,Declination,Distance_50,Binary
83,574059045248283008,0.9450505,86.1115844,0.03246,NaN
84,4905913753768390272,0.9970842,-60.3669809,0.0351,NaN
85,423130041883475968,1.031085,58.7165695,0.03645,NaN
86,4901340747469751936,1.0333874,-63.7083606,0.03888,NaN
87,4919443824167795328,1.081014,-57.3566008,0.04342,NaN
88,2306957128025970944,1.0900638,-37.553013,0.03071,NaN
89,2853664271048351360,1.0989728,26.3389986,0.0448,NaN
90,429297859741477888,1.9308182,60.3816199,0.01533,NaN
91,2745124125287535744,1.1197522,5.8693612,0.03501,NaN
92,4905673510477793664,1.1486986,-60.8822097,0.04414,NaN
93,4996141155411984128,1.1492032,-40.7417877,0.01214,NaN
94,4996141155411983744,1.1557979,-40.7408251,0.01231,NaN
95,2428694673200513536,1.1678686,-9.8793424,0.04468,NaN
96,2340736324254735488,1.1763913,-20.9745877,0.01504,NaN
97,2339809775257769472,1.1881968,-23.3359282,0.04435,NaN
98,4995662902213011712,1.2085481,-42.6937813,0.04327,NaN
99,4684027977956595584,1.2094504,-77.3717689,0.04096,NaN
100,565044664809129088,1.2334975,80.0131036,0.03625,NaN
101,2848150288954631296,1.2365239,23.2695963,0.02636,NaN
102,2414623952318068224,1.2404632,-17.1603037,0.01706,NaN
103,4702964901081513600,1.2453444,-70.2128706,0.04428,NaN
104,2739077223651402240,1.2590516,2.2875925,0.03899,NaN
105,4973139402225747072,1.2804275,-52.1523161,0.04228,NaN
106,537563127588521600,1.2813158,73.2198158,0.0345,NaN
107,386655019234959872,1.3009213,45.7858944,0.0115,NaN
108,528973914551617920,1.32045,67.975896,0.04532,NaN
109,4706630501049679744,1.3223288,-67.8350813,0.01639,NaN
110,2444348733779214976,1.333868,-5.707223,0.04254,NaN
111,4976609705736840960,1.3530666,-50.0480995,0.02419,NaN
112,2306965202564744064,1.3832842,-37.367744,0.00435,NaN
113,2442074771933927424,1.3960934,-6.1188217,0.02487,NaN
114,4972371672524763520,1.5146545,-52.4624323,0.04312,NaN
115,2874387694410623360,1.4048542,33.564755,0.03407,NaN
116,2738884362439240064,1.4121939,2.1638134,0.02931,NaN
117,2336694553870669312,1.4181646,-24.1283505,0.04098,NaN
118,2745932777433073024,1.4224986,7.3305238,0.04138,NaN
119,386653747925624576,1.4262386,45.8097159,0.01152,NaN
120,386653851004022144,1.4265906,45.8113739,0.01152,NaN
121,2340605825968413184,1.455329,-21.9560445,0.0254,NaN
122,420998849050618240,1.4603003,56.5004049,0.03619,NaN
123,4995853014646189696,1.4695196,-41.7534081,0.03883,NaN
124,2797111130991722240,1.4774134,18.2343496,0.03746,NaN
125,2773086595766697856,1.4804485,18.0752246,0.03754,NaN
126,2773086595767001600,1.4811531,18.0745563,0.03753,NaN
127,384052750089843328,1.4814466,41.4914564,0.03994,NaN
128,4905653684908760576,1.4852588,-61.0701734,0.0348,NaN
129,4905653753628236416,1.490019,-61.0651404,0.03481,NaN
130,4994725568550995328,1.5173885,-43.4272385,0.03236,NaN
131,530838548833153408,1.536941,70.5465703,0.04411,NaN
132,2448404248058334848,1.5559273,-2.5364609,0.0446,NaN
133,386277165192421120,1.5663477,44.1745557,0.03098,NaN
134,423075173674854528,1.5678786,58.4372913,0.02127,NaN
135,423075173680043904,1.5679083,58.4368617,0.02079,NaN
136,4899957905439568256,1.582079,-65.8429737,0.01747,NaN
137,4976894960284725632,1.5836298,-49.0764412,0.02616,NaN
138,4976894960284258048,1.5837991,-49.0753682,0.02618,NaN
139,2320716863212650368,1.5989913,-29.8683222,0.04225,NaN
140,2441530238800505472,1.6008757,-8.0073017,0.02758,NaN
141,423259307520131328,1.6008897,59.7116467,0.02584,NaN
142,2741783362285662592,1.6107219,4.6522022,0.02731,NaN
143,4917991167445603072,1.6123111,-59.5629764,0.04105,NaN
144,420257675129174528,1.6235648,53.9863503,0.04546,NaN
145,2429029856744500608,1.6509007,-9.1008318,0.02924,NaN
146,2860924621205256704,1.6551989,29.0207136,0.01377,NaN
147,2441755844843043328,1.6630516,-7.0927892,0.02131,NaN
